Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,139,859,64,878,75,-19,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,139,859,72,1018,67,-159,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,199,803,158,792,41,11,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,199,803,161,1019,38,-216,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,432,57224,945,-5675,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,428,55508,949,-3959,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,417,48341,960,3208,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,440,59268,937,-7719,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,30,4,-14,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,30,4,-14,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,16,4,0,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,32,4,-16,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347689,64,48,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347689,64,48,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11759,347687,66,50,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11759,347687,66,50,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,12,188,7,-69,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,12,188,7,-69,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,12,116,7,3,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,14,210,5,-91,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,1074,45658,310,51641,764,-5983,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,1074,45658,302,51617,772,-5959,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,24,1848,37,-883,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,24,1848,37,-883,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,15,1177,46,-212,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,24,1848,37,-883,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,47,365,16,-126,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,45,359,18,-120,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,46,412,17,-173,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,47,453,16,-214,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,24,1848,46,-482,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,24,1848,46,-482,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,13,1311,57,55,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,24,1848,46,-482,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075_1.tfc,-,-,-,-,-,-,antigo-novo
