Nome TFC,Qtd. Portas,Qtd. Subcircuitos,Tamanho Médio das Janelas,Maior Janela,Menor Janela
./temporarios/tfcs_reais/edinelco/s2/S2-ex6Miller_inv.tfc,15,13,1.1538461538461537,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex6Miller.tfc,16,15,1.0666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex7Miller_inv.tfc,16,15,1.0666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex7Miller.tfc,15,13,1.1538461538461537,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-graycode6_complete_19_inv.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-graycode6_complete_19.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-Gupta0_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-Gupta0.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-Gupta1_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-Gupta1.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ham3_complete_47(28)_inv.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ham3_complete_47(28).tfc,6,6,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ham7_inv.tfc,80,52,1.5384615384615385,8,1
./temporarios/tfcs_reais/edinelco/s2/S2-ham7.tfc,115,99,1.1616161616161615,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb4_inv.tfc,21,17,1.2352941176470589,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb4.tfc,18,17,1.0588235294117647,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb5_13_inv.tfc,45,42,1.0714285714285714,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb5_13.tfc,50,44,1.1363636363636365,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb6_inv.tfc,107,103,1.0388349514563107,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb6.tfc,110,101,1.0891089108910892,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb7_15_inv.tfc,291,272,1.0698529411764706,4,1
./temporarios/tfcs_reais/edinelco/s2/S2-hwb7_15.tfc,353,306,1.15359477124183,5,1
./temporarios/tfcs_reais/edinelco/s2/S2-miller_complete_5.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD03_inv.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD03.tfc,6,5,1.2,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD04_inv.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD04.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD05_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD05.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD07_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-MMD07.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-mod5adder_inv.tfc,16,11,1.4545454545454546,4,1
./temporarios/tfcs_reais/edinelco/s2/S2-mod5adder.tfc,17,11,1.5454545454545454,4,1
./temporarios/tfcs_reais/edinelco/s2/S2-mod5mils_complete_26(18)_inv.tfc,5,2,2.5,4,1
./temporarios/tfcs_reais/edinelco/s2/S2-mod5mils_complete_26(18).tfc,3,2,1.5,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime3_inc_inv.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime3_inc.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime4_inc_inv.tfc,11,7,1.5714285714285714,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime4_inc.tfc,15,15,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime5_inc_inv.tfc,44,42,1.0476190476190477,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime5_inc.tfc,38,35,1.0857142857142856,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime6_inc_inv.tfc,87,82,1.0609756097560976,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime6_inc.tfc,102,95,1.0736842105263158,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime7_inc_inv.tfc,327,286,1.1433566433566433,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-nth_prime7_inc.tfc,256,237,1.080168776371308,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-quali_inv_inv.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-quali_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-quali.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-RCFK_inv.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-RCFK.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK1_inv_inv.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK1_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK1.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK2_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK2.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK3_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-RFMK3.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-Saeedi07_inv.tfc,2,2,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-Saeedi07.tfc,2,2,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-toffoli_1.tfc,1,1,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-toffoli_double_2.tfc,2,1,2.0,2,2
./temporarios/tfcs_reais/edinelco/s2/S2-ZLZPZ_inv.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ZLZPZ.tfc,8,8,1.0,1,1
