Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,1074,45658,289,44136,785,1522,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,1074,45658,1065,46367,9,-709,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,1074,45658,310,51641,764,-5983,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1074-qc44192.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,1083,5767,1095,6111,-12,-344,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd73d2-n9-gc1083-qc4294.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,2963,380263,2954,380784,9,-521,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc2963-qc361652.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,3050,19298,3071,19765,-21,-467,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd84d1-n11-gc3050-qc12837.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,15,921,46,44,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,61,1221,0,-256,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,24,1848,37,-883,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc61-qc869.tfc,61,965,15,1177,46,-212,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,41,223,22,16,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,69,481,-6,-242,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,47,365,16,-126,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc63-qc224.tfc,63,239,46,412,17,-173,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,13,1311,57,55,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,70,1366,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,24,1848,46,-482,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_6-n7-gc70-qc1360.tfc,70,1366,13,1311,57,55,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,461,2725,473,5689,-12,-2964,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075_1.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/symmetric_9-n10-gc461-qc2075_1.tfc,461,2725,473,5689,-12,-2964,novo
