Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v3_46.tfc,6,6,6,6,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/ham3tc.tfc,5,9,5,13,0,-4,antigo
./tfcs/revlib/n_01-09/portas_0-1000/ham3tc.tfc,5,9,5,9,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/ham3tc.tfc,5,9,5,9,0,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/ham3tc.tfc,5,9,5,9,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-21.tfc,11,23,10,22,1,1,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-21.tfc,11,23,10,22,1,1,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-21.tfc,11,23,10,22,1,1,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-21.tfc,11,23,10,22,1,1,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-23.tfc,11,23,11,23,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-23.tfc,11,23,11,23,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-23.tfc,11,23,11,23,0,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4-11-23.tfc,11,23,11,23,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4tc.tfc,17,65,15,59,2,6,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4tc.tfc,17,65,15,55,2,10,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4tc.tfc,17,65,15,55,2,10,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb4tc.tfc,17,65,15,55,2,10,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-102.tfc,24,104,22,104,2,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-102.tfc,24,104,23,149,1,-45,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-102.tfc,24,104,23,149,1,-45,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-102.tfc,24,104,23,149,1,-45,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-114.tfc,24,104,24,106,0,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-114.tfc,24,104,26,167,-2,-63,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-114.tfc,24,104,27,176,-3,-72,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-24-114.tfc,24,104,26,169,-2,-65,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-33-71.tfc,33,77,31,77,2,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-33-71.tfc,33,77,33,93,0,-16,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-33-71.tfc,33,77,31,95,2,-18,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5-33-71.tfc,33,77,31,93,2,-16,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5_31_91.tfc,31,91,29,93,2,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5_31_91.tfc,31,91,32,202,-1,-111,novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5_31_91.tfc,31,91,33,209,-2,-118,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5_31_91.tfc,31,91,29,93,2,-2,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5tc.tfc,55,315,54,310,1,5,antigo
./tfcs/revlib/n_01-09/portas_0-1000/hwb5tc.tfc,55,315,54,310,1,5,novo
